Country Name	Country Code	Indicator Name	Life expectancy at birth 1960	Life expectancy at birth 1961	Life expectancy at birth 1962	Life expectancy at birth 1963	Life expectancy at birth 1964	Life expectancy at birth 1965	Life expectancy at birth 1966	Life expectancy at birth 1967	Life expectancy at birth 1968	Life expectancy at birth 1969	Life expectancy at birth 1970	Life expectancy at birth 1971	Life expectancy at birth 1972	Life expectancy at birth 1973	Life expectancy at birth 1974	Life expectancy at birth 1975	Life expectancy at birth 1976	Life expectancy at birth 1977	Life expectancy at birth 1978	Life expectancy at birth 1979	Life expectancy at birth 1980	Life expectancy at birth 1981	Life expectancy at birth 1982	Life expectancy at birth 1983	Life expectancy at birth 1984	Life expectancy at birth 1985	Life expectancy at birth 1986	Life expectancy at birth 1987	Life expectancy at birth 1988	Life expectancy at birth 1989	Life expectancy at birth 1990	Life expectancy at birth 1991	Life expectancy at birth 1992	Life expectancy at birth 1993	Life expectancy at birth 1994	Life expectancy at birth 1995	Life expectancy at birth 1996	Life expectancy at birth 1997	Life expectancy at birth 1998	Life expectancy at birth 1999	Life expectancy at birth 2000	Life expectancy at birth 2001	Life expectancy at birth 2002	Life expectancy at birth 2003	Life expectancy at birth 2004	Life expectancy at birth 2005	Life expectancy at birth 2006	Life expectancy at birth 2007	Life expectancy at birth 2008	Life expectancy at birth 2009	Life expectancy at birth 2010	Life expectancy at birth 2011	Life expectancy at birth 2012	Life expectancy at birth 2013	Life expectancy at birth 2014
Aruba	ABW	65.56936585	65.98802439	66.36553659	66.71397561	67.04429268	67.3697561	67.699	68.03468293	68.37714634	68.72841463	69.08614634	69.44609756	69.79865854	70.13965854	70.46529268	70.77780488	71.08082927	71.37770732	71.66978049	71.95285366	72.22014634	72.46234146	72.67319512	72.84902439	72.9897561	73.09797561	73.17936585	73.24270732	73.2962439	73.3444878	73.38997561	73.43312195	73.4717561	73.50531707	73.5357561	73.56360976	73.58943902	73.61480488	73.64229268	73.67539024	73.72060976	73.78290244	73.8652439	73.96856098	74.09085366	74.22807317	74.37619512	74.5267561	74.67573171	74.81814634	74.95353659	75.08139024	75.2057561	75.32865854	75.45109756
Andorra	AND																																																							
Afghanistan	AFG	32.3285122	32.77743902	33.21990244	33.65787805	34.09287805	34.52539024	34.95741463	35.38941463	35.82241463	36.26039024	36.70282927	37.1527561	37.61014634	38.07853659	38.56090244	39.05929268	39.57570732	40.11014634	40.66760976	41.25058537	41.86753659	42.52692683	43.23073171	43.97592683	44.75902439	45.57702439	46.42695122	47.29634146	48.16973171	49.03112195	49.86104878	50.64097561	51.36292683	52.02187805	52.61434146	53.13939024	53.60204878	54.01782927	54.40273171	54.76726829	55.12587805	55.48753659	55.85719512	56.23529268	56.62631707	57.0272439	57.43256098	57.83382927	58.22502439	58.60368293	58.97082927	59.32795122	59.67960976	60.02826829	60.37446341
Angola	AGO	32.98482927	33.38621951	33.78758537	34.18846341	34.59034146	34.99221951	35.39509756	35.79997561	36.20585366	36.6102439	37.01512195	37.42102439	37.82692683	38.22682927	38.61378049	38.97580488	39.301	39.58136585	39.81585366	40.00539024	40.1592439	40.28865854	40.408	40.5282439	40.65395122	40.77778049	40.8874878	40.97387805	41.03770732	41.08765854	41.13834146	41.20634146	41.31302439	41.47819512	41.7162439	42.05146341	42.50163415	43.06212195	43.71426829	44.439	45.20478049	45.97314634	46.71173171	47.39317073	48.0035122	48.53880488	49.00704878	49.43573171	49.84739024	50.25102439	50.65417073	51.05931707	51.464	51.86617073	52.26687805
Albania	ALB	62.25436585	63.27346341	64.16285366	64.88709756	65.43819512	65.82739024	66.08931707	66.28721951	66.47495122	66.68160976	66.93258537	67.23887805	67.58595122	67.95795122	68.34834146	68.74121951	69.1155122	69.45617073	69.7542439	70.00965854	70.23597561	70.45446341	70.68512195	70.93739024	71.20653659	71.47121951	71.69756098	71.86195122	71.95329268	71.97858537	71.95731707	71.91841463	71.90080488	71.93585366	72.04195122	72.23602439	72.52741463	72.89809756	73.32658537	73.79339024	74.27153659	74.73256098	75.15460976	75.52329268	75.83121951	76.08160976	76.28612195	76.47029268	76.65207317	76.84036585	77.03695122	77.24058537	77.44397561	77.64046341	77.83046341
Arab World	ARB	46.8500222	47.43012699	48.0086029	48.58976532	49.17435247	49.75762312	50.32999302	50.88569671	51.42429986	51.95187741	52.47894481	53.02072045	53.58702135	54.17918317	54.79183014	55.41660477	56.04276295	56.66119189	57.27116776	57.8797404	58.49836865	59.13757353	59.79953239	60.47821045	61.15763846	61.8189458	62.44071037	63.00928507	63.51706911	63.9635172	64.4487757	64.79622435	65.06981037	65.40025215	65.74610784	66.14583109	66.48673929	66.81794364	67.11819034	67.40331314	67.65143489	67.88466982	68.10262516	68.31355588	68.5327228	68.75352097	68.98318856	69.20700823	69.41718278	69.61892949	69.8130248	69.99300952	70.17366957	70.36980568	70.56790191
United Arab Emirates	ARE	52.24321951	53.28656098	54.327	55.3635122	56.39258537	57.40570732	58.39185366	59.34046341	60.24404878	61.09858537	61.90104878	62.65495122	63.36631707	64.04312195	64.68890244	65.30514634	65.89334146	66.454	66.98860976	67.49717073	67.98319512	68.44517073	68.88409756	69.3014878	69.69831707	70.07663415	70.43639024	70.77812195	71.10482927	71.418	71.72014634	72.01229268	72.29641463	72.57302439	72.84558537	73.11507317	73.38392683	73.65265854	73.92021951	74.18717073	74.45153659	74.71287805	74.96826829	75.21721951	75.45726829	75.68639024	75.90453659	76.11117073	76.3077561	76.49478049	76.6752439	76.85119512	77.02414634	77.19563415	77.36817073
Argentina	ARG	65.21553659	65.3385122	65.43260976	65.50939024	65.58241463	65.66868293	65.7822439	65.93002439	66.1134878	66.33509756	66.59082927	66.87312195	67.16795122	67.46531707	67.75865854	68.04795122	68.33670732	68.62943902	68.92663415	69.22431707	69.5144878	69.78665854	70.03531707	70.257	70.45419512	70.63139024	70.79907317	70.9677561	71.14590244	71.33753659	71.54365854	71.76329268	71.98895122	72.21565854	72.44139024	72.66512195	72.88734146	73.10804878	73.32768293	73.54426829	73.75580488	73.96031707	74.15578049	74.34126829	74.51878049	74.68780488	74.84990244	75.00904878	75.16626829	75.32456098	75.48497561	75.64904878	75.8162439	75.98609756	76.15860976
Armenia	ARM	65.86346341	66.28439024	66.70985366	67.13785366	67.56541463	67.99153659	68.41473171	68.8304878	69.22926829	69.60004878	69.92426829	70.18287805	70.36734146	70.47965854	70.52634146	70.53192683	70.52941463	70.54290244	70.58297561	70.64126829	70.68453659	70.66160976	70.5355122	70.29014634	69.93568293	69.5	69.02429268	68.56756098	68.18209756	67.8995122	67.74780488	67.73829268	67.85334146	68.06956098	68.37665854	68.76356098	69.21685366	69.71641463	70.24021951	70.76709756	71.27658537	71.75582927	72.20160976	72.60958537	72.9737561	73.28739024	73.54826829	73.76465854	73.945	74.09582927	74.22634146	74.34282927	74.45209756	74.56136585	74.67570732
American Samoa	ASM																																																							
