Y	"<location>Cambodia</location> has an estimated population of <number>13 million</number> -LRB- 2004 estimate -RRB- , with a labor participation rate of 72 percent ."	Cambodia	Cambodia	population	14305183	1	[u'LOCATION_SLOT~-nsubj+has~dobj+population~prep_of+NUMBER_SLOT']	13000000	0.091238469	htmlPages2textPARSEDALL/http:||2001-2009.state.gov|e|eeb|ifd|2005|41991.htm.json
N	"Population : The population of <location>Brunei</location> is <number>4</number> hundred and 5 thousand , 9 hundred and 38 ."	Brunei	Brunei	population	405938	2	"[u'""population"",""of"",LOCATION_SLOT,""is"",NUMBER_SLOT', u'""the"",""population"",""of"",LOCATION_SLOT,""is"",NUMBER_SLOT']"	4	0.999990146	htmlPages2textPARSEDALL/http:||5c-neighbours.wikispaces.com|Brunei.json
N	"According to the 2009 census , <location>Djibouti</location> has a total population of 818 <number>159</number> , of whom 70.6 % 棠 题 棠 题 live in urban areas , with 58.1 % of the population resident in the city of Djibouti , especially in the Balbala and Boulaos neighbourhoods ."	Djibouti	Djibouti	population	792198	1	[u'LOCATION_SLOT~-nsubj+has~dobj+population~prep_of+NUMBER_SLOT']	159	0.999799293	htmlPages2textPARSEDALL/http:||abdas.org|?sn=djibouti.json
Y	"Population of <location>Afghanistan</location> : <number>29,928,987</number> -LRB- Approx . -RRB-"	Afghanistan	Afghanistan	population	31108077	1	[u'LOCATION_SLOT~-prep_of+population~dep+NUMBER_SLOT']	29928987	0.037903018	htmlPages2textPARSEDALL/http:||afghanistan.world.tripod.com|population.htm.json
Y	"According to the economic survey of Pakistan 2010-11 , the total population of <location>Pakistan</location> is <number>177.1 million</number> against the 173.5 million in last year ."	Pakistan	Pakistan	population	179160111	1	"[u'""population"",""of"",LOCATION_SLOT,""is"",NUMBER_SLOT']"	177100000	0.011498715	htmlPages2textPARSEDALL/http:||ahsankhaneco.blogspot.com|2012|04|over-population-in-pakistan-causes.html.json
Y	The population of <location>New Zealand</location> is <number>4.4 million</number>	New Zealand	New Zealand	population	4242048	3	"[u'LOCATION_SLOT~-prep_of+*extend*is~cop+population~-nsubj+NUMBER_SLOT', u'""population"",""of"",LOCATION_SLOT,""is"",NUMBER_SLOT', u'""the"",""population"",""of"",LOCATION_SLOT,""is"",NUMBER_SLOT']"	4400000	0.037234845	htmlPages2textPARSEDALL/http:||anglonz.blogspot.com|2013|06|the-new-zealand-european-fertility-rate.html.json
Y	"The population of <location>Bangladesh</location> is a staggering <number>164.4 million</number> -LRB- UNFPA , 2010 -RRB- , making it the 7thmost populous country in the world after China , India , United States , Indonesia , Brazil and Pakistan ."	Bangladesh	Bangladesh	population	161083804	1	[u'LOCATION_SLOT~-prep_of+*extend*is~cop+population~-nsubj+NUMBER_SLOT']	164400000	0.020586775	htmlPages2textPARSEDALL/http:||annmariacoughlan.wordpress.com|2009|03|28|8-bangladesh-country-overview|.json
Y	"The population of <location>Bangladesh</location> is a staggering <number>164.4 million</number> -LRB- UNFPA , 2010 -RRB- , making it the 7thmost populous country in the world after China , India , United States , Indonesia , Brazil and Pakistan ."	Bangladesh	Bangladesh	population	161083804	1	[u'LOCATION_SLOT~-prep_of+*extend*is~cop+population~-nsubj+NUMBER_SLOT']	164400000	0.020586775	htmlPages2textPARSEDALL/http:||annmariacoughlan.wordpress.com|tag|kazi-nazrul-islam|page|2|.json
Y	The population of <location>Afghanistan</location> is <number>29.8 million</number> -LRB- 2005 -RRB- with a growth rate of 3 percent a year .	Afghanistan	Afghanistan	population	31108077	2	"[u'""population"",""of"",LOCATION_SLOT,""is"",NUMBER_SLOT', u'""the"",""population"",""of"",LOCATION_SLOT,""is"",NUMBER_SLOT']"	29800000	0.042049433	htmlPages2textPARSEDALL/http:||answerparty.com|question|answer|what-is-the-population-of-afghanistan.json
Y	"POPULATION : the population of <location>Bhutan</location> is <number>716,896</number> ."	Bhutan	Bhutan	population	738267	2	"[u'""population"",""of"",LOCATION_SLOT,""is"",NUMBER_SLOT', u'""the"",""population"",""of"",LOCATION_SLOT,""is"",NUMBER_SLOT']"	716896	0.028947522	htmlPages2textPARSEDALL/http:||aroundtheworldingeographyclass.wikispaces.com|Bhutan-Roberto+Bobadilla.json
