Y		So <location>India</location> 's growth at <number>3.2</number> % is not a collapse ?	India	India	gdp_growth_rate	3.236943	2	"[u'LOCATION_SLOT,""\'s"",""growth"",""at"",NUMBER_SLOT', u'LOCATION_SLOT,""\'s"",""growth"",""at"",NUMBER_SLOT,""PERCENT""']"	3.2	0.011412929	htmlPages2textPARSEDALL/http:||defence.pk|threads|pakistan-surpasses-indias-gdp-growth-rate.285552|page-7.json
Y		So <location>India</location> 's growth at <number>3.2</number> % is not a collapse ?	India	India	gdp_growth_rate	3.236943	2	"[u'LOCATION_SLOT,""\'s"",""growth"",""at"",NUMBER_SLOT', u'LOCATION_SLOT,""\'s"",""growth"",""at"",NUMBER_SLOT,""PERCENT""']"	3.2	0.011412929	htmlPages2textPARSEDALL/http:||defence.pk|threads|pakistan-surpasses-indias-gdp-growth-rate.285552|page-7.json
N		"The list is led by Paraguay , whose GDP could grow 12.5 percent in 2013 , followed by Panama -LRB- 7.5 % -RRB- , Peru -LRB- <number>5.9</number> % -RRB- , <location>Bolivia</location> -LRB- 5.5 % -RRB- , Nicaragua -LRB- 5.0 % -RRB- and Chile -LRB- 4.6 % -RRB- ."	Bolivia	Bolivia	gdp_growth_rate	5.17643	1	[u'*extend*grow~-pobj+LOCATION_SLOT~-conj_and+LOCATION~conj_and+LOCATION~appos+PERCENT~num+NUMBER_SLOT']	5.9	0.139781664	htmlPages2textPARSEDALL/http:||www.24-7pressrelease.com|press-release|nicaraguas-fdi-inflows-with-great-dynamism-during-first-trimester-of-2013-359728.php.json
N		"The list is led by Paraguay , whose GDP could grow 12.5 percent in 2013 , followed by Panama -LRB- 7.5 % -RRB- , Peru -LRB- <number>5.9</number> % -RRB- , <location><location>Bolivia</location></location> -LRB- 5.5 % -RRB- , Nicaragua -LRB- <number>5.0</number> % -RRB- and Chile -LRB- 4.6 % -RRB- ."	Bolivia	Bolivia	gdp_growth_rate	5.17643	1	[u'*extend*grow~-pobj+LOCATION_SLOT~-conj_and+LOCATION~conj_and+LOCATION~appos+PERCENT~num+NUMBER_SLOT']	5	0.034083335	htmlPages2textPARSEDALL/http:||www.24-7pressrelease.com|press-release|nicaraguas-fdi-inflows-with-great-dynamism-during-first-trimester-of-2013-359728.php.json
N		"The list is led by Paraguay , whose GDP could grow 12.5 percent in 2013 , followed by Panama -LRB- 7.5 % -RRB- , Peru -LRB- <number>5.9</number> % -RRB- , <location><location><location>Bolivia</location></location></location> -LRB- 5.5 % -RRB- , Nicaragua -LRB- <number>5.0</number> % -RRB- and Chile -LRB- <number>4.6</number> % -RRB- ."	Bolivia	Bolivia	gdp_growth_rate	5.17643	1	[u'*extend*grow~-pobj+LOCATION_SLOT~-conj_and+LOCATION~conj_and+LOCATION~appos+PERCENT~num+NUMBER_SLOT']	4.6	0.111356669	htmlPages2textPARSEDALL/http:||www.24-7pressrelease.com|press-release|nicaraguas-fdi-inflows-with-great-dynamism-during-first-trimester-of-2013-359728.php.json
N		"The list is led by Paraguay , whose GDP could grow 12.5 percent in 2013 , followed by Panama -LRB- 7.5 % -RRB- , Peru -LRB- <number><number>5.9</number></number> % -RRB- , <location><location><location>Bolivia</location></location></location> -LRB- 5.5 % -RRB- , <location>Nicaragua</location> -LRB- <number>5.0</number> % -RRB- and Chile -LRB- <number>4.6</number> % -RRB- ."	Nicaragua	Nicaragua	gdp_growth_rate	5.204732	2	"[u'*extend*grow~-pobj+LOCATION_SLOT~-conj_and+LOCATION~conj_and+LOCATION~appos+PERCENT~num+NUMBER_SLOT', u'*extend*grow~-pobj+LOCATION_SLOT~-conj_and+LOCATION~conj_and+LOCATION~appos+PERCENT~num+NUMBER_SLOT']"	5.9	0.133583823	htmlPages2textPARSEDALL/http:||www.24-7pressrelease.com|press-release|nicaraguas-fdi-inflows-with-great-dynamism-during-first-trimester-of-2013-359728.php.json
N		"The list is led by Paraguay , whose GDP could grow 12.5 percent in 2013 , followed by Panama -LRB- 7.5 % -RRB- , Peru -LRB- <number><number>5.9</number></number> % -RRB- , <location><location><location>Bolivia</location></location></location> -LRB- <number>5.5</number> % -RRB- , <location><location>Nicaragua</location></location> -LRB- <number>5.0</number> % -RRB- and Chile -LRB- <number>4.6</number> % -RRB- ."	Nicaragua	Nicaragua	gdp_growth_rate	5.204732	1	[u'*extend*grow~-pobj+LOCATION_SLOT~-conj_and+LOCATION~conj_and+LOCATION~appos+PERCENT~num+NUMBER_SLOT']	5.5	0.056730683	htmlPages2textPARSEDALL/http:||www.24-7pressrelease.com|press-release|nicaraguas-fdi-inflows-with-great-dynamism-during-first-trimester-of-2013-359728.php.json
N		"The list is led by Paraguay , whose GDP could grow 12.5 percent in 2013 , followed by Panama -LRB- 7.5 % -RRB- , Peru -LRB- <number><number>5.9</number></number> % -RRB- , <location><location><location>Bolivia</location></location></location> -LRB- <number>5.5</number> % -RRB- , <location><location><location>Nicaragua</location></location></location> -LRB- <number>5.0</number> % -RRB- and Chile -LRB- <number><number>4.6</number></number> % -RRB- ."	Nicaragua	Nicaragua	gdp_growth_rate	5.204732	2	"[u'*extend*grow~-pobj+LOCATION_SLOT~-conj_and+LOCATION~conj_and+LOCATION~appos+PERCENT~num+NUMBER_SLOT', u'*extend*grow~-pobj+LOCATION_SLOT~-conj_and+LOCATION~conj_and+LOCATION~appos+PERCENT~num+NUMBER_SLOT']"	4.6	0.116188884	htmlPages2textPARSEDALL/http:||www.24-7pressrelease.com|press-release|nicaraguas-fdi-inflows-with-great-dynamism-during-first-trimester-of-2013-359728.php.json
N		"The list is led by Paraguay , whose GDP could grow 12.5 percent in 2013 , followed by Panama -LRB- 7.5 % -RRB- , Peru -LRB- <number><number><number>5.9</number></number></number> % -RRB- , <location><location><location>Bolivia</location></location></location> -LRB- <number>5.5</number> % -RRB- , <location><location><location>Nicaragua</location></location></location> -LRB- <number>5.0</number> % -RRB- and <location>Chile</location> -LRB- <number><number>4.6</number></number> % -RRB- ."	Chile	Chile	gdp_growth_rate	5.55537	2	"[u'*extend*grow~-pobj+LOCATION_SLOT~-conj_and+LOCATION~conj_and+LOCATION~appos+PERCENT~num+NUMBER_SLOT', u'*extend*grow~-pobj+LOCATION_SLOT~-conj_and+LOCATION~conj_and+LOCATION~appos+PERCENT~num+NUMBER_SLOT']"	5.9	0.062035472	htmlPages2textPARSEDALL/http:||www.24-7pressrelease.com|press-release|nicaraguas-fdi-inflows-with-great-dynamism-during-first-trimester-of-2013-359728.php.json
N		"The list is led by Paraguay , whose GDP could grow 12.5 percent in 2013 , followed by Panama -LRB- 7.5 % -RRB- , Peru -LRB- <number><number><number>5.9</number></number></number> % -RRB- , <location><location><location>Bolivia</location></location></location> -LRB- <number><number>5.5</number></number> % -RRB- , <location><location><location>Nicaragua</location></location></location> -LRB- <number>5.0</number> % -RRB- and <location><location>Chile</location></location> -LRB- <number><number>4.6</number></number> % -RRB- ."	Chile	Chile	gdp_growth_rate	5.55537	1	[u'*extend*grow~-pobj+LOCATION_SLOT~-conj_and+LOCATION~conj_and+LOCATION~appos+PERCENT~num+NUMBER_SLOT']	5.5	0.009966933	htmlPages2textPARSEDALL/http:||www.24-7pressrelease.com|press-release|nicaraguas-fdi-inflows-with-great-dynamism-during-first-trimester-of-2013-359728.php.json
