N		"Dominican Republic compared to other CountriesThe GDP growth rate of Dominican Republic is similar to that of Switzerland , <location>St. Vincent and the Grenadines</location> , South Africa , Serbia , Japan , The Bahamas , St. Kitts and Nevis , Iceland , Zimbabwe , United Kingdom with a respective GDP growth rate of 2.00 , 2.00 , 2.00 , 2.00 , 2.00 , 1.90 , 1.90 , 1.90 , 1.81 , 1.80 -LRB- % -RRB- and a global rank of <number>134</number> , 135 , 136 , 137 , 138 , 140 , 141 , 142 , 143 , 144 ."	St. Vincent and the Grenadines	Saint Vincent and the Grenadines	consumer_price_index	130.83	1	[u'LOCATION_SLOT~-prep_of+*extend*LOCATION~nn+that~-prep_to+similar~prep_with+rate~prep_of+rank~prep_of+NUMBER_SLOT']	134	0.024229917	htmlPages2textPARSEDALL/http:||mecometer.com|whats|dominican-republic|gdp-growth-rate|.json
N	Two locations?	"Dominican Republic compared to other CountriesThe GDP growth rate of Dominican Republic is similar to that of Switzerland , <location>St. Vincent and the Grenadines</location> , <location>South Africa</location> , Serbia , Japan , The Bahamas , St. Kitts and Nevis , Iceland , Zimbabwe , United Kingdom with a respective GDP growth rate of 2.00 , 2.00 , 2.00 , 2.00 , 2.00 , 1.90 , 1.90 , 1.90 , 1.81 , 1.80 -LRB- % -RRB- and a global rank of <number><number>134</number></number> , 135 , 136 , 137 , 138 , 140 , 141 , 142 , 143 , 144 ."	South Africa	South Africa	consumer_price_index	154.95	1	[u'LOCATION_SLOT~-prep_of+*extend*LOCATION~nn+that~-prep_to+similar~prep_with+rate~prep_of+rank~prep_of+NUMBER_SLOT']	134	0.135204905	htmlPages2textPARSEDALL/http:||mecometer.com|whats|dominican-republic|gdp-growth-rate|.json
N		"Dominican Republic compared to other CountriesThe GDP growth rate of Dominican Republic is similar to that of Switzerland , <location>St. Vincent and the Grenadines</location> , <location>South Africa</location> , Serbia , Japan , The Bahamas , <location>St. Kitts and Nevis</location> , Iceland , Zimbabwe , United Kingdom with a respective GDP growth rate of 2.00 , 2.00 , 2.00 , 2.00 , 2.00 , 1.90 , 1.90 , 1.90 , 1.81 , 1.80 -LRB- % -RRB- and a global rank of <number><number><number>134</number></number></number> , 135 , 136 , 137 , 138 , 140 , 141 , 142 , 143 , 144 ."	St. Kitts and Nevis	Saint Kitts and Nevis	consumer_price_index	132.92	1	[u'LOCATION_SLOT~-prep_of+*extend*LOCATION~nn+that~-prep_to+similar~prep_with+rate~prep_of+rank~prep_of+NUMBER_SLOT']	134	0.008125188	htmlPages2textPARSEDALL/http:||mecometer.com|whats|dominican-republic|gdp-growth-rate|.json
N		"Kuwait compared to other CountriesThe GDP growth rate of Kuwait is similar to that of Georgia , Belize , Australia , Malta , Marshall Islands , Brazil , Belarus , Virgin Islands , Switzerland , <location>St. Vincent and the Grenadines</location> with a respective GDP growth rate of 2.50 , 2.50 , 2.50 , 2.40 , 2.30 , 2.30 , 2.10 , 2.00 , 2.00 , 2.00 -LRB- % -RRB- and a global rank of <number>125</number> , 126 , 127 , 128 , 129 , 131 , 132 , 133 , 134 , 135 ."	St. Vincent and the Grenadines	Saint Vincent and the Grenadines	consumer_price_index	130.83	1	[u'LOCATION_SLOT~-prep_of+*extend*LOCATION~nn+that~-prep_to+similar~prep_with+rate~prep_of+rank~prep_of+NUMBER_SLOT']	125	0.044561645	htmlPages2textPARSEDALL/http:||mecometer.com|whats|kuwait|gdp-growth-rate|.json
N		"South Africa compared to other CountriesThe GDP growth rate of South Africa is similar to that of Brazil , Belarus , Virgin Islands , Switzerland , <location>St. Vincent and the Grenadines</location> , Serbia , Japan , Dominican Republic , The Bahamas , St. Kitts and Nevis with a respective GDP growth rate of 2.30 , 2.10 , 2.00 , 2.00 , 2.00 , 2.00 , 2.00 , 2.00 , 1.90 , 1.90 -LRB- % -RRB- and a global rank of <number>131</number> , 132 , 133 , 134 , 135 , 137 , 138 , 139 , 140 , 141 ."	St. Vincent and the Grenadines	Saint Vincent and the Grenadines	consumer_price_index	130.83	1	[u'LOCATION_SLOT~-prep_of+*extend*LOCATION~nn+that~-prep_to+similar~prep_with+rate~prep_of+rank~prep_of+NUMBER_SLOT']	131	0.001299396	htmlPages2textPARSEDALL/http:||mecometer.com|whats|south-africa|gdp-growth-rate|.json
N		"South Africa compared to other CountriesThe GDP growth rate of South Africa is similar to that of Brazil , Belarus , Virgin Islands , Switzerland , <location>St. Vincent and the Grenadines</location> , Serbia , Japan , <location>Dominican Republic</location> , The Bahamas , St. Kitts and Nevis with a respective GDP growth rate of 2.30 , 2.10 , 2.00 , 2.00 , 2.00 , 2.00 , 2.00 , 2.00 , 1.90 , 1.90 -LRB- % -RRB- and a global rank of <number><number>131</number></number> , 132 , 133 , 134 , 135 , 137 , 138 , 139 , 140 , 141 ."	Dominican Republic	Dominican Republic	consumer_price_index	153.26	1	[u'LOCATION_SLOT~-prep_of+*extend*LOCATION~nn+that~-prep_to+similar~prep_with+rate~prep_of+rank~prep_of+NUMBER_SLOT']	131	0.145243377	htmlPages2textPARSEDALL/http:||mecometer.com|whats|south-africa|gdp-growth-rate|.json
N		"South Africa compared to other CountriesThe GDP growth rate of South Africa is similar to that of Brazil , Belarus , Virgin Islands , Switzerland , <location>St. Vincent and the Grenadines</location> , Serbia , Japan , <location>Dominican Republic</location> , The Bahamas , <location>St. Kitts and Nevis</location> with a respective GDP growth rate of 2.30 , 2.10 , 2.00 , 2.00 , 2.00 , 2.00 , 2.00 , 2.00 , 1.90 , 1.90 -LRB- % -RRB- and a global rank of <number><number><number>131</number></number></number> , 132 , 133 , 134 , 135 , 137 , 138 , 139 , 140 , 141 ."	St. Kitts and Nevis	Saint Kitts and Nevis	consumer_price_index	132.92	1	[u'LOCATION_SLOT~-prep_of+*extend*LOCATION~nn+that~-prep_to+similar~prep_with+rate~prep_of+rank~prep_of+NUMBER_SLOT']	131	0.014444779	htmlPages2textPARSEDALL/http:||mecometer.com|whats|south-africa|gdp-growth-rate|.json
N	No number	"Zimbabwe compared to other CountriesThe GDP growth rate of Zimbabwe is similar to that of Japan , Dominican Republic , The Bahamas , St. Kitts and Nevis , Iceland , United Kingdom , Liechtenstein , Egypt , Antigua and Barbuda , <location>Venezuela</location> with a respective GDP growth rate of 2.00 , 2.00 , 1.90 , 1.90 , 1.90 , 1.80 , 1.80 , 1.80 , 1.70 , 1.60 -LRB- % -RRB- and a global rank of <number>138</number> , 139 , 140 , 141 , 142 , 144 , 145 , 146 , 147 , 148 ."	Venezuela	Venezuela	consumer_price_index	248.68	1	[u'LOCATION_SLOT~-prep_of+*extend*LOCATION~nn+that~-prep_to+similar~prep_with+rate~prep_of+rank~prep_of+NUMBER_SLOT']	138	0.445069969	htmlPages2textPARSEDALL/http:||mecometer.com|whats|zimbabwe|gdp-growth-rate|.json
Y		"<location>Albania</location> Consumer price index -LRB- 2005 = 100 -RRB- 2012 : <number>121.76</number> , Index , 2005 = 100"	Albania	Albania	consumer_price_index	121.76	1	[u'LOCATION_SLOT~-nn+consumer~dep+NUMBER_SLOT']	121.76	0	htmlPages2textPARSEDALL/http:||www.orkii.com|albania|consumer-price-index-2005-100.json
Y		"<location>Algeria</location> Consumer price index -LRB- 2005 = 100 -RRB- 2012 : <number>139.10</number> , Index , 2005 = 100"	Algeria	Algeria	consumer_price_index	139.1	1	[u'LOCATION_SLOT~-nn+consumer~dep+NUMBER_SLOT']	139.1	0	htmlPages2textPARSEDALL/http:||www.orkii.com|algeria|consumer-price-index-2005-100.json
