Y		2 Fertility Rate բ $ `` <location>Guinea-Bissau</location> <number>7.07</number>	Guinea-Bissau	Guinea-Bissau	fertility_rate	4.988	1	"[u'""NUMBER"",""fertility"",""rate"",""\xe2"",""MONEY"",""MONEY"",LOCATION_SLOT,NUMBER_SLOT']"	7.07	0.417401764	htmlPages2textPARSEDALL/http:||fertility-central.com|fertility-rate|.json
Y		8 Fertility Rate բ $ `` <location>Mali</location> <number>6.52</number>	Mali	Mali	fertility_rate	6.227	1	"[u'""NUMBER"",""fertility"",""rate"",""\xe2"",""MONEY"",""MONEY"",LOCATION_SLOT,NUMBER_SLOT']"	6.52	0.047053156	htmlPages2textPARSEDALL/http:||fertility-central.com|fertility-rate|.json
Y		10 Fertility Rate բ $ `` <location>Uganda</location> <number>6.46</number>	Uganda	Uganda	fertility_rate	6.052	1	"[u'""NUMBER"",""fertility"",""rate"",""\xe2"",""MONEY"",""MONEY"",LOCATION_SLOT,NUMBER_SLOT']"	6.46	0.06741573	htmlPages2textPARSEDALL/http:||fertility-central.com|fertility-rate|.json
Y		11 Fertility Rate բ $ `` <location>Angola</location> <number>6.43</number>	Angola	Angola	fertility_rate	5.313	1	"[u'""NUMBER"",""fertility"",""rate"",""\xe2"",""MONEY"",""MONEY"",LOCATION_SLOT,NUMBER_SLOT']"	6.43	0.210239036	htmlPages2textPARSEDALL/http:||fertility-central.com|fertility-rate|.json
Y		16 Fertility Rate բ $ `` <location>Malawi</location> <number>5.59</number>	Malawi	Malawi	fertility_rate	5.985	1	"[u'""NUMBER"",""fertility"",""rate"",""\xe2"",""MONEY"",""MONEY"",LOCATION_SLOT,NUMBER_SLOT']"	5.59	0.065998329	htmlPages2textPARSEDALL/http:||fertility-central.com|fertility-rate|.json
Y		19 Fertility Rate բ $ `` <location>Benin</location> <number>5.42</number>	Benin	Benin	fertility_rate	5.206	1	"[u'""NUMBER"",""fertility"",""rate"",""\xe2"",""MONEY"",""MONEY"",LOCATION_SLOT,NUMBER_SLOT']"	5.42	0.041106416	htmlPages2textPARSEDALL/http:||fertility-central.com|fertility-rate|.json
Y		21 Fertility Rate բ $ `` <location>Nigeria</location> <number>5.32</number>	Nigeria	Nigeria	fertility_rate	5.489	1	"[u'""NUMBER"",""fertility"",""rate"",""\xe2"",""MONEY"",""MONEY"",LOCATION_SLOT,NUMBER_SLOT']"	5.32	0.03078885	htmlPages2textPARSEDALL/http:||fertility-central.com|fertility-rate|.json
Y		22 Fertility Rate բ $ `` <location>Ethiopia</location> <number>5.29</number>	Ethiopia	Ethiopia	fertility_rate	4.045	1	"[u'""NUMBER"",""fertility"",""rate"",""\xe2"",""MONEY"",""MONEY"",LOCATION_SLOT,NUMBER_SLOT']"	5.29	0.307787392	htmlPages2textPARSEDALL/http:||fertility-central.com|fertility-rate|.json
Y		23 Fertility Rate բ $ `` <location>Zambia</location> <number>5.18</number>	Zambia	Zambia	fertility_rate	6.279	1	"[u'""NUMBER"",""fertility"",""rate"",""\xe2"",""MONEY"",""MONEY"",LOCATION_SLOT,NUMBER_SLOT']"	5.18	0.175027871	htmlPages2textPARSEDALL/http:||fertility-central.com|fertility-rate|.json
Y		24 Fertility Rate բ $ `` <location>Tanzania</location> <number>5.16</number>	Tanzania	Tanzania	fertility_rate	5.529	1	"[u'""NUMBER"",""fertility"",""rate"",""\xe2"",""MONEY"",""MONEY"",LOCATION_SLOT,NUMBER_SLOT']"	5.16	0.066739012	htmlPages2textPARSEDALL/http:||fertility-central.com|fertility-rate|.json
